* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 17, 2025 8:57:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 55.263 65.7926
20.287556 55.331 65.0689
20.434568 55.415 64.1335
20.582645 55.506 63.0582
20.731796 55.595 61.9314
20.882027 55.675 60.8566
21.033346 55.746 59.9517
21.185763 55.812 59.3472
21.339284 55.884 59.1812
21.493917 55.981 59.5897
21.649671 56.127 60.6870
21.806553 56.350 62.5359
21.964572 56.673 65.1097
22.123737 57.111 68.2636
22.284054 57.667 71.7389
22.445534 58.330 75.2167
22.608183 59.081 78.4009
22.772012 59.899 81.0855
22.937027 60.763 83.1762
23.103238 61.657 84.6689
23.270654 62.571 85.6135
23.439282 63.498 86.0805
23.609133 64.434 86.1414
23.780215 65.377 85.8599
23.952536 66.325 85.2917
24.126106 67.279 84.4884
24.300934 68.240 83.5021
24.477028 69.209 82.3878
24.654399 70.188 81.2038
24.833055 71.181 80.0072
25.013005 72.189 78.8470
25.194260 73.213 77.7518
25.376828 74.252 76.7184
25.560719 75.302 75.7013
25.745942 76.356 74.6110
25.932508 77.408 73.3238
26.120426 78.446 71.7024
26.309705 79.462 69.6217
26.500356 80.445 66.9903
26.692388 81.387 63.7605
26.885812 82.279 59.9278
27.080638 83.116 55.5224
27.276876 83.891 50.5981
27.474535 84.601 45.2224
27.673627 85.243 39.4691
27.874161 85.813 33.4131
28.076149 86.312 27.1277
28.279600 86.738 20.6828
28.484526 87.092 14.1448
28.690937 87.375 7.5758
28.898843 87.589 1.0339
29.108256 87.738 -5.4275
29.319186 87.825 -11.7595
29.531645 87.856 -17.9188
29.745644 87.837 -23.8686
29.961193 87.776 -29.5798
30.178304 87.682 -35.0316
30.396989 87.564 -40.2130
30.617258 87.431 -45.1227
30.839123 87.292 -49.7685
31.062596 87.156 -54.1658
31.287688 87.027 -58.3350
31.514412 86.911 -62.2989
31.742778 86.810 -66.0801
31.972800 86.723 -69.6987
32.204488 86.651 -73.1720
32.437855 86.594 -76.5142
32.672913 86.550 -79.7374
32.909674 86.520 -82.8529
33.148151 86.503 -85.8719
33.388356 86.499 -88.8063
33.630302 86.507 -91.6683
33.874001 86.527 -94.4693
34.119466 86.558 -97.2201
34.366710 86.598 -99.9294
34.615745 86.646 -102.6039
34.866585 86.702 -105.2488
35.119243 86.764 -107.8684
35.373731 86.832 -110.4664
35.630064 86.906 -113.0468
35.888254 86.984 -115.6136
36.148315 87.067 -118.1712
36.410261 87.154 -120.7232
36.674104 87.243 -123.2726
36.939860 87.335 -125.8213
37.207542 87.428 -128.3705
37.477163 87.522 -130.9206
37.748738 87.618 -133.4721
38.022281 87.714 -136.0255
38.297806 87.811 -138.5825
38.575327 87.909 -141.1451
38.854860 88.008 -143.7161
39.136419 88.108 -146.2982
39.420017 88.208 -148.8942
39.705671 88.308 -151.5060
39.993395 88.407 -154.1347
40.283203 88.505 -156.7804
40.575112 88.600 -159.4424
40.869136 88.694 -162.1191
41.165290 88.784 -164.8085
41.463591 88.872 -167.5085
41.764053 88.958 -170.2171
42.066693 89.041 -172.9329
42.371525 89.123 -175.6551
42.678567 89.202 -178.3835
42.987834 89.280 178.8811
43.299341 89.356 176.1372
43.613106 89.431 173.3825
43.929145 89.503 170.6143
44.247473 89.573 167.8295
44.568109 89.640 165.0250
44.891068 89.703 162.1978
45.216367 89.760 159.3459
45.544023 89.812 156.4680
45.874054 89.855 153.5638
46.206476 89.890 150.6340
46.541307 89.915 147.6804
46.878565 89.930 144.7052
47.218266 89.932 141.7120
47.560429 89.922 138.7051
47.905072 89.899 135.6904
48.252212 89.861 132.6753
48.601867 89.807 129.6691
48.954056 89.737 126.6834
49.308798 89.651 123.7311
49.666109 89.550 120.8259
50.026010 89.434 117.9817
50.388520 89.305 115.2106
50.753656 89.165 112.5232
51.121437 89.017 109.9263
51.491884 88.864 107.4235
51.865016 88.708 105.0142
52.240851 88.555 102.6934
52.619410 88.405 100.4518
53.000712 88.262 98.2757
53.384777 88.129 96.1479
53.771625 88.005 94.0489
54.161276 87.892 91.9591
54.553751 87.789 89.8604
54.949070 87.693 87.7389
55.347254 87.604 85.5853
55.748323 87.519 83.3960
56.152298 87.437 81.1718
56.559201 87.357 78.9162
56.969052 87.279 76.6337
57.381873 87.204 74.3278
57.797686 87.133 72.0001
58.216512 87.067 69.6504
58.638373 87.007 67.2768
59.063291 86.954 64.8758
59.491288 86.908 62.4417
59.922386 86.869 59.9662
60.356608 86.835 57.4369
60.793977 86.806 54.8380
61.234515 86.779 52.1526
61.678246 86.747 49.3652
62.125192 86.706 46.4658
62.575377 86.650 43.4516
63.028824 86.573 40.3276
63.485557 86.471 37.1052
63.945599 86.341 33.7993
64.408975 86.183 30.4260
64.875709 85.996 27.0002
65.345825 85.783 23.5355
65.819348 85.545 20.0438
66.296302 85.285 16.5371
66.776713 85.006 13.0276
67.260604 84.712 9.5264
67.748002 84.407 6.0422
68.238932 84.097 2.5783
68.733420 83.787 -0.8698
69.231490 83.483 -4.3159
69.733170 83.192 -7.7836
70.238485 82.917 -11.3049
70.747463 82.662 -14.9182
71.260128 82.428 -18.6665
71.776508 82.217 -22.5950
72.296630 82.029 -26.7493
72.820521 81.863 -31.1743
73.348209 81.719 -35.9136
73.879720 81.600 -41.0071
74.415083 81.506 -46.4899
74.954326 81.441 -52.3881
75.497475 81.408 -58.7157
76.044561 81.411 -65.4688
76.595612 81.453 -72.6227
77.150655 81.539 -80.1295
77.709720 81.671 -87.9210
78.272837 81.850 -95.9150
78.840034 82.076 -104.0259
79.411342 82.348 -112.1750
79.986789 82.660 -120.3009
80.566406 83.008 -128.3629
81.150224 83.385 -136.3412
81.738272 83.780 -144.2331
82.330581 84.187 -152.0449
82.927182 84.596 -159.7861
83.528107 84.998 -167.4626
84.133386 85.384 -175.0736
84.743051 85.748 177.3909
85.357134 86.084 169.9484
85.975667 86.385 162.6215
86.598682 86.648 155.4351
87.226212 86.867 148.4124
87.858289 87.039 141.5734
88.494946 87.161 134.9329
89.136217 87.230 128.5015
89.782135 87.245 122.2858
90.432733 87.205 116.2911
91.088046 87.111 110.5217
91.748108 86.963 104.9832
92.412952 86.765 99.6829
93.082615 86.522 94.6301
93.757130 86.239 89.8358
94.436533 85.925 85.3117
95.120859 85.587 81.0688
95.810144 85.235 77.1149
96.504423 84.877 73.4527
97.203734 84.522 70.0771
97.908112 84.180 66.9731
98.617595 83.857 64.1155
99.332219 83.562 61.4686
100.052021 83.302 58.9883
100.777039 83.083 56.6243
101.507311 82.912 54.3229
102.242875 82.796 52.0291
102.983769 82.740 49.6880
103.730032 82.750 47.2455
104.481702 82.831 44.6464
105.238820 82.982 41.8331
106.001424 83.204 38.7438
106.769554 83.492 35.3108
107.543250 83.839 31.4610
108.322553 84.234 27.1171
109.107503 84.667 22.2004
109.898141 85.125 16.6349
110.694508 85.596 10.3509
111.496646 86.067 3.2888
112.304596 86.528 -4.5986
113.118402 86.969 -13.3453
113.938104 87.382 -22.9709
114.763747 87.759 -33.4771
115.595372 88.096 -44.8378
116.433024 88.391 -56.9809
117.276746 88.646 -69.7646
118.126581 88.862 -82.9617
118.982575 89.046 -96.2731
119.844772 89.204 -109.3750
120.713217 89.345 -121.9860
121.587954 89.477 -133.9177
122.469031 89.608 -145.0883
123.356492 89.743 -155.5012
124.250384 89.886 -165.2131
125.150753 90.039 -174.3024
126.057647 90.201 177.1514
126.971113 90.369 169.0762
127.891198 90.539 161.4109
128.817950 90.706 154.1041
129.751418 90.863 147.1121
130.691651 91.005 140.3975
131.638696 91.127 133.9290
132.592604 91.225 127.6824
133.553425 91.297 121.6401
134.521208 91.343 115.7915
135.496004 91.361 110.1310
136.477864 91.354 104.6567
137.466839 91.323 99.3677
138.462981 91.271 94.2615
139.466340 91.199 89.3329
140.476971 91.110 84.5726
141.494925 91.005 79.9683
142.520256 90.886 75.5051
143.553016 90.753 71.1682
144.593260 90.606 66.9436
145.641043 90.443 62.8215
146.696418 90.262 58.7981
147.759441 90.057 54.8767
148.830166 89.826 51.0708
149.908651 89.564 47.4031
150.994951 89.267 43.9069
152.089123 88.931 40.6251
153.191223 88.556 37.6097
154.301310 88.141 34.9183
155.419441 87.689 32.6116
156.545674 87.205 30.7483
157.680069 86.698 29.3817
158.822683 86.177 28.5543
159.973578 85.656 28.2948
161.132813 85.152 28.6136
162.300447 84.685 29.5005
163.476543 84.274 30.9192
164.661162 83.941 32.8019
165.854364 83.707 35.0417
167.056213 83.585 37.4894
168.266772 83.583 39.9586
169.486102 83.698 42.2480
170.714268 83.914 44.1707
171.951334 84.212 45.5834
173.197364 84.567 46.4015
174.452424 84.956 46.5979
175.716578 85.356 46.1893
176.989893 85.751 45.2203
178.272434 86.128 43.7478
179.564270 86.477 41.8318
180.865467 86.788 39.5299
182.176092 87.056 36.8969
183.496216 87.273 33.9860
184.825905 87.433 30.8527
186.165229 87.530 27.5580
187.514259 87.559 24.1707
188.873065 87.516 20.7686
190.241717 87.400 17.4373
191.620287 87.211 14.2686
193.008847 86.953 11.3608
194.407468 86.630 8.8192
195.816225 86.252 6.7563
197.235190 85.827 5.2905
198.664438 85.373 4.5371
200.104042 84.909 4.5874
201.554078 84.460 5.4734
203.014622 84.054 7.1246
204.485750 83.719 9.3389
205.967538 83.475 11.7986
207.460064 83.330 14.1448
208.963405 83.276 16.0751
210.477640 83.293 17.4121
212.002848 83.355 18.1160
213.539108 83.435 18.2565
215.086500 83.513 17.9773
216.645105 83.576 17.4662
218.215005 83.620 16.9373
219.796281 83.655 16.6212
221.389015 83.698 16.7592
222.993292 83.776 17.5951
224.609193 83.916 19.3556
226.236804 84.145 22.1982
227.876209 84.478 26.1141
229.527494 84.917 30.8129
231.190745 85.444 35.6940
232.866048 86.034 40.0109
234.553491 86.653 43.1548
236.253163 87.267 44.8337
237.965150 87.849 45.0522
239.689544 88.374 43.9928
241.426433 88.826 41.9087
243.175909 89.194 39.0616
244.938062 89.474 35.6940
246.712984 89.665 32.0160
248.500768 89.774 28.2017
250.301507 89.808 24.3871
252.115295 89.778 20.6746
253.942226 89.696 17.1381
255.782396 89.572 13.8298
257.635901 89.419 10.7861
259.502837 89.248 8.0311
261.383301 89.071 5.5784
263.277392 88.900 3.4299
265.185209 88.746 1.5730
267.106850 88.621 -0.0262
269.042417 88.534 -1.4276
270.992009 88.490 -2.7172
272.955729 88.487 -3.9967
274.933678 88.516 -5.3633
276.925961 88.562 -6.8861
278.932681 88.609 -8.5909
280.953942 88.638 -10.4558
282.989850 88.637 -12.4178
285.040511 88.600 -14.3881
287.106032 88.527 -16.2708
289.186521 88.424 -17.9852
291.282086 88.303 -19.4854
293.392836 88.180 -20.7738
295.518881 88.068 -21.9025
297.660333 87.975 -22.9565
299.817302 87.902 -24.0271
301.989902 87.844 -25.1816
304.178245 87.794 -26.4484
306.382446 87.742 -27.8169
308.602620 87.682 -29.2555
310.838882 87.612 -30.7318
313.091348 87.529 -32.2245
315.360137 87.428 -33.7170
317.645367 87.304 -35.1819
319.947156 87.150 -36.5624
322.265625 86.960 -37.7698
324.600895 86.734 -38.6971
326.953086 86.481 -39.2498
329.322323 86.213 -39.3792
331.708729 85.950 -39.1095
334.112427 85.710 -38.5431
336.533543 85.507 -37.8361
338.972204 85.350 -37.1548
341.428536 85.237 -36.6304
343.902668 85.161 -36.3325
346.394729 85.111 -36.2672
348.904848 85.077 -36.3921
351.433156 85.051 -36.6359
353.979786 85.028 -36.9167
356.544869 85.010 -37.1571
359.128540 85.001 -37.2971
361.730934 85.005 -37.3083
364.352185 85.029 -37.2058
366.992431 85.078 -37.0514
369.651810 85.151 -36.9419
372.330459 85.242 -36.9785
375.028519 85.339 -37.2322
377.746130 85.432 -37.7195
380.483434 85.512 -38.4048
383.240574 85.573 -39.2161
